Timestamp,LOCATION,ACCOMODATION TYPE,FLOOR,ROOM SIZE,BUILDING AGE,SCHOOL DISTANCE,MARKET DISTANCE,TRANSPORT ACCESSIBILITY,WATER SOURCE,LOCATION OF WATER SOURCE,ELECTRICITY RELIABILITY,TOILET TYPE,TOILET LOCATION,GATE?,SECURITY GUARD?,FENCE?,SECURITY,ENVIRONMENTAL CLEANING,VIBEZ OF ENVIRONMENT,ENVIRONMENTAL ATMOSPHERE,YEARLY RENT,RULES AND REGULATION,RULES AND REGULATION DESCRIPTION
16/12/2024 22:39:09,Odim,Flat,Third Floor,Medium,10-20 years,5-15 minutes walk,5-15 minutes walk,Moderately accessibile,"Private tap/tanker (water is delivered to a tank, but not directly to your unit)",It's within my building,"Unreliable (frequent blackouts, 6-12 hours/day)",Water Closet,En-suite (inside the apartment),Yes,Yes,Yes,Average,Tenants take turns cleaning,Neutral,,350 000,Moderately Strict,Gate lock 11pm 
16/12/2024 22:44:21,Odenigwe,Self-contained (Self-con,Third Floor,Medium,10-20 years,5-15 minutes walk,5-15 minutes walk,Moderately accessibile,Running water available in your unit,It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,Yes,Yes,Average,No cleaning,Vibrant,vibrant,210,Not Strict,pouring water at the compound is not allowed 
16/12/2024 22:47:08,Odim,Self-contained (Self-con,Ground floor,Medium,Less than 5 years,15-30 minutes walk,More than 30 minutes walk,Not very accessible,Borehole (outside the building),5-15 minutes walk,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Semi-Water Closer,En-suite (inside the apartment),No,No,No,Average,No cleaning,Quiet,Just good,120000,Not Strict,No rules
16/12/2024 22:48:05,Hilltop,Self-contained (Self-con,First Floor,Small,Less than 5 years,15-30 minutes walk,More than 30 minutes walk,Not very accessible,Borehole (outside the building),15-30 minutes walk,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Semi-Water Closer,En-suite (inside the apartment),No,No,No,Insecure,Tenants take turns cleaning,Neutral,,150000,Not Strict,Every Saturday Clean up 
16/12/2024 23:53:23,Hilltop,Self-contained (Self-con,First Floor,Large,Less than 5 years,15-30 minutes walk,More than 30 minutes walk,Moderately accessibile,Running water available in your unit,It's within my building,"Very reliable (near consistent, 18-24 hours/day",Water Closet,En-suite (inside the apartment),Yes,Yes,Yes,Secure,Regular cleaning by caretaker,Neutral,,300000,Moderately Strict,
17/12/2024 00:04:49,Hilltop,Self-contained (Self-con,Third Floor,Medium,Less than 5 years,5-15 minutes walk,More than 30 minutes walk,Not very accessible,Running water available in your unit,It's within my building,"Very reliable (near consistent, 18-24 hours/day",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Secure,Regular cleaning by caretaker,Neutral,Nice,"250,000",Strict,
17/12/2024 00:05:41,Odim,Single room,-,Small,10-20 years,15-30 minutes walk,Less than 5 minutes walk,Moderately accessibile,Borehole (outside the building),5-15 minutes walk,"Unreliable (frequent blackouts, 6-12 hours/day)",Pit Latrine,Shared within the compound,Yes,No,Yes,Average,Tenants take turns cleaning,Quiet,,100 000,Not Strict,
17/12/2024 00:15:35,Vet Mountain,Self-contained (Self-con,First Floor,Medium,Less than 5 years,15-30 minutes walk,More than 30 minutes walk,Not very accessible,Running water available in your unit,It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Average,Regular cleaning by caretaker,Neutral,,"150,000",Not Strict,No using of electric cooker
17/12/2024 01:08:29,Greenhouse,Self-contained (Self-con,First Floor,Large,10-20 years,Less than 5 minutes walk,5-15 minutes walk,Very accessible,Running water available in your unit,It's within my building,"Light ke? (No grid connection, spoilt transformer, you live in Hilltop)",Water Closet,En-suite (inside the apartment),Yes,Yes,Yes,Very Secure,Regular cleaning by caretaker,Very Vibrant,Very noisy ,"180,000",Strict,"Gate lock k time is 10pm, friends are'nt allowed to sleep over except letting the caretaker know "
17/12/2024 01:20:10,Odim,Self-contained (Self-con,Ground floor,Medium,10-20 years,Less than 5 minutes walk,5-15 minutes walk,Not accessible,Public tap (outside the building),5-15 minutes walk,"Very reliable (near consistent, 18-24 hours/day",Pit Latrine,En-suite (inside the apartment),Yes,No,Yes,Average,Tenants take turns cleaning,Quiet,No disturbance ,200 000,No rules,
17/12/2024 04:20:04,Odim,Self-contained (Self-con,Bungalow ,Medium,Less than 5 years,5-15 minutes walk,More than 30 minutes walk,Not very accessible,Borehole (outside the building),It's within my building,"Unreliable (frequent blackouts, 6-12 hours/day)",Semi-Water Closer,En-suite (inside the apartment),Yes,No,No,Average,Tenants take turns cleaning,Quiet,Nice ,"120,000",Not Strict,Coming back home be4 12am
17/12/2024 04:28:57,Hilltop,Self-contained (Self-con,Ground floor,Medium,Less than 5 years,5-15 minutes walk,More than 30 minutes walk,Moderately accessibile,Public tap (outside the building),It's within my building,"Light ke? (No grid connection, spoilt transformer, you live in Hilltop)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Average,Tenants take turns cleaning,Very Vibrant,It's very vibrant because students regularly comes to watch football in the compound with the caretaker's TV,"170,000",Moderately Strict,"Gate lock time: 11:00pm 
Opening time: 6:00am"
17/12/2024 04:48:09,Hilltop,Self-contained (Self-con,First Floor,Medium,10-20 years,5-15 minutes walk,15-30 minutes walk,Very accessible,Public tap (outside the building),It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,Yes,Yes,Very Secure,Tenants take turns cleaning,Quiet,"Close to school, very serene and secure",100000,Very Strict,"No fighting, stealing and smoking."
17/12/2024 08:06:16,Odim,Self-contained (Self-con,Ground floor,Medium,10-20 years,Less than 5 minutes walk,5-15 minutes walk,Not accessible,Public tap (outside the building),5-15 minutes walk,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Pit Latrine,En-suite (inside the apartment),Yes,No,Yes,Average,Tenants take turns cleaning,Neutral,Sometime quiet ,Now 200 000,No rules,
17/12/2024 09:41:34,Odenigwe,Self-contained (Self-con,First Floor,Medium,10-20 years,15-30 minutes walk,More than 30 minutes walk,Not very accessible,People selling water ,5-15 minutes walk,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Average,No cleaning,Neutral,Neutral ,"150, 000",Strict,No nails on the walls
17/12/2024 09:44:47,Hilltop,Self-contained (Self-con,First Floor,Small,10-20 years,15-30 minutes walk,More than 30 minutes walk,Not very accessible,"Private tap/tanker (water is delivered to a tank, but not directly to your unit)",5-15 minutes walk,"Unreliable (frequent blackouts, 6-12 hours/day)",Semi-Water Closer,En-suite (inside the apartment),No,No,No,Insecure,A date is chosen for cleaning by tenants ,Neutral,,150000,Not Strict,Everyone should keep the environment clean and tidy
17/12/2024 10:20:23,Behind Flat,Self-contained (Self-con,Ground floor,Medium,10-20 years,5-15 minutes walk,15-30 minutes walk,Very accessible,"Private tap/tanker (water is delivered to a tank, but not directly to your unit)",It's within my building,"Unreliable (frequent blackouts, 6-12 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Average,Tenants take turns cleaning,Neutral,Good,200000,Moderately Strict,
17/12/2024 10:33:55,Vet Mountain,Self-contained (Self-con,Ground floor,Small,Less than 5 years,Less than 5 minutes walk,15-30 minutes walk,Not very accessible,"Private tap/tanker (water is delivered to a tank, but not directly to your unit)",5-15 minutes walk,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Very Secure,Regular cleaning by caretaker,Quiet,Conducive environment.,"160,000",Not Strict,"No littering, pay your dues as at when due."
17/12/2024 10:34:49,Odim,Single room,Ground floor,Medium,Over 20 years,15-30 minutes walk,More than 30 minutes walk,Very accessible,Borehole (outside the building),5-15 minutes walk,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Pit Latrine,Shared within the compound,Yes,Yes,Yes,Average,Tenants take turns cleaning,Neutral,"Atmosphere is just moderate,no unnecessary pollution",4000-50000,Not Strict,Washing of toilet and bathroom every Saturday 
17/12/2024 10:51:58,Odim,Single room,Ground floor,Very Small,Less than 5 years,5-15 minutes walk,5-15 minutes walk,Not very accessible,Borehole (outside the building),5-15 minutes walk,"Unreliable (frequent blackouts, 6-12 hours/day)",Semi-Water Closer,Shared within the compound,Yes,No,Yes,Average,Tenants take turns cleaning,Quiet,Peaceful,30000,Moderately Strict,
17/12/2024 10:56:02,Odenigwe,Single room,First Floor,Medium,Less than 5 years,5-15 minutes walk,5-15 minutes walk,Not accessible,"Private tap/tanker (water is delivered to a tank, but not directly to your unit)",It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),No,No,No,Average,Regular cleaning by caretaker,Neutral,,160000,No rules,
17/12/2024 11:34:57,Odenigwe,Single room,Ground floor,Medium,Over 20 years,5-15 minutes walk,15-30 minutes walk,Moderately accessibile,Borehole (outside the building),5-15 minutes walk,"Very reliable (near consistent, 18-24 hours/day",Semi-Water Closer,Shared within the compound,No,Sometimes,No,Average,Tenants take turns cleaning,Very Quiet,Cool,"60,000",Moderately Strict,
17/12/2024 11:38:49,Odenigwe,Self-contained (Self-con,First Floor,Medium,10-20 years,5-15 minutes walk,5-15 minutes walk,Moderately accessibile,Borehole (outside the building),5-15 minutes walk,"Very reliable (near consistent, 18-24 hours/day",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Average,No cleaning,Neutral,,"200,000",Not Strict,Gate locks by 11pm
17/12/2024 11:39:22,Hilltop,Self-contained (Self-con,Ground floor,Large,10-20 years,15-30 minutes walk,15-30 minutes walk,Moderately accessibile,Borehole (outside the building),5-15 minutes walk,"Light ke? (No grid connection, spoilt transformer, you live in Hilltop)",Pit Latrine,En-suite (inside the apartment),No,No,No,Insecure,No cleaning,Very Quiet,,"120,000",No rules,
17/12/2024 11:39:34,Odim,Self-contained (Self-con,Ground floor,Medium,10-20 years,Less than 5 minutes walk,Less than 5 minutes walk,Very accessible,Borehole (outside the building),5-15 minutes walk,"Very reliable (near consistent, 18-24 hours/day",Pit Latrine,En-suite (inside the apartment),No,No,No,Very Secure,Regular cleaning by caretaker,Very Quiet,,150000,No rules,
17/12/2024 11:46:05,Odim,Self-contained (Self-con,Ground floor,Large,10-20 years,Less than 5 minutes walk,Less than 5 minutes walk,Very accessible,Public tap (outside the building),5-15 minutes walk,"Unreliable (frequent blackouts, 6-12 hours/day)",Pit Latrine,En-suite (inside the apartment),No,No,Yes,Average,Tenants take turns cleaning,Quiet,,150000,No rules,
17/12/2024 11:51:09,Odim,Self-contained (Self-con,Ground floor,Medium,Less than 5 years,Less than 5 minutes walk,Less than 5 minutes walk,Very accessible,Public tap (outside the building),It's within my building,"Very reliable (near consistent, 18-24 hours/day",Semi-Water Closer,En-suite (inside the apartment),Yes,No,Yes,Very Secure,Tenants take turns cleaning,Very Vibrant,,150000,Moderately Strict,
17/12/2024 12:02:15,Odim,Self-contained (Self-con,Ground floor,Medium,10-20 years,5-15 minutes walk,5-15 minutes walk,Not very accessible,Borehole (outside the building),It's within my building,Very unreliable (under 6 hours/day),Water Closet,En-suite (inside the apartment),Yes,No,Yes,Very Secure,Regular cleaning by caretaker,Neutral,,180000,Not Strict,
17/12/2024 12:07:09,Odim,Single room,Ground floor,Medium,10-20 years,Less than 5 minutes walk,Less than 5 minutes walk,Very accessible,Borehole (outside the building),It's within my building,"Very reliable (near consistent, 18-24 hours/day",Semi-Water Closer,Shared within the compound,No,No,No,Average,Tenants take turns cleaning,Very Quiet,,65000,Very Strict,
17/12/2024 12:12:48,Odim,Single room,Ground floor,Medium,Less than 5 years,5-15 minutes walk,5-15 minutes walk,Very accessible,Public tap (outside the building),It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Average,Regular cleaning by caretaker,Vibrant,,170000,No rules,
17/12/2024 12:15:11,Odim,Self-contained (Self-con,Ground floor,Medium,Less than 5 years,5-15 minutes walk,5-15 minutes walk,Very accessible,Running water available in your unit,It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Average,Regular cleaning by caretaker,Vibrant,,17000,No rules,
17/12/2024 12:25:05,Odim,Self-contained (Self-con,Ground floor,Medium,10-20 years,15-30 minutes walk,5-15 minutes walk,Not accessible,Borehole (outside the building),It's within my building,"Very reliable (near consistent, 18-24 hours/day",Semi-Water Closer,En-suite (inside the apartment),No,No,No,Very Secure,Tenants take turns cleaning,Neutral,,150000,No rules,
17/12/2024 12:31:47,Odenigwe,Single room,Ground floor,Small,Less than 5 years,15-30 minutes walk,5-15 minutes walk,Moderately accessibile,"Private tap/tanker (water is delivered to a tank, but not directly to your unit)",It's within my building,"Very reliable (near consistent, 18-24 hours/day",Semi-Water Closer,Outside but personal ,Yes,No,Yes,Very Secure,Tenants take turns cleaning,Quiet,,"50,000",Moderately Strict,Gate lock time and cleaning 
17/12/2024 12:34:58,Odim,Self-contained (Self-con,First Floor,Medium,Less than 5 years,Less than 5 minutes walk,15-30 minutes walk,Moderately accessibile,Public tap (outside the building),It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Very Secure,No cleaning,Neutral,It's quite normal ,200000,Not Strict,No disrupting of public peace or vandalism of any such of public property 
17/12/2024 12:38:11,Odim,Single room,Ground floor,Small,10-20 years,More than 30 minutes walk,15-30 minutes walk,Not very accessible,Borehole (outside the building),It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Semi-Water Closer,Shared within the compound,No,No,Yes,Secure,Tenants take turns cleaning,Neutral,Very quiet ,"100,000",Moderately Strict,None
17/12/2024 12:43:18,Odim,Single room,Ground floor,Large,Over 20 years,15-30 minutes walk,Less than 5 minutes walk,Not accessible,Borehole (outside the building),It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,Shared within the compound,No,No,No,Very Secure,Tenants take turns cleaning,Quiet,,90000,Moderately Strict,
17/12/2024 12:56:53,Odim,Flat,Ground floor,Medium,Less than 5 years,5-15 minutes walk,5-15 minutes walk,Not accessible,Borehole (outside the building),It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),No,No,No,Very Secure,Tenants take turns cleaning,Quiet,,30000,Not Strict,
17/12/2024 13:00:46,Odim,Single room,Ground floor,Medium,Less than 5 years,5-15 minutes walk,5-15 minutes walk,Not accessible,Borehole (outside the building),It's within my building,"Very reliable (near consistent, 18-24 hours/day",Semi-Water Closer,Shared within the compound,No,No,No,Very Secure,Tenants take turns cleaning,Very Quiet,,80000,No rules,
17/12/2024 13:06:08,Odim,Single room,Ground floor,Medium,10-20 years,5-15 minutes walk,5-15 minutes walk,Very accessible,Borehole (outside the building),It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,Shared within the compound,No,No,No,Very Secure,Tenants take turns cleaning,Quiet,,80000,Not Strict,
17/12/2024 13:14:23,Odim,Single room,Ground floor,Medium,Less than 5 years,5-15 minutes walk,5-15 minutes walk,Not accessible,Running water available in your unit,It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,No,Very Secure,Regular cleaning by caretaker,Quiet,,170000,No rules,
17/12/2024 13:20:54,Odim,Flat,Ground floor,Large,Less than 5 years,5-15 minutes walk,5-15 minutes walk,Not accessible,Running water available in your unit,It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,Yes,Yes,Very Secure,Tenants take turns cleaning,Quiet,,600000,No rules,
17/12/2024 13:26:18,Odim,Single room,Ground floor,Medium,10-20 years,5-15 minutes walk,Less than 5 minutes walk,Not accessible,Public tap (outside the building),It's within my building,"Very reliable (near consistent, 18-24 hours/day",Semi-Water Closer,Shared within the compound,No,No,No,Very Secure,Tenants take turns cleaning,Quiet,,70000,Moderately Strict,
17/12/2024 13:37:21,Odim,Self-contained (Self-con,Ground floor,Medium,Less than 5 years,More than 30 minutes walk,Less than 5 minutes walk,Very accessible,Borehole (outside the building),It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Secure,Regular cleaning by caretaker,Quiet,Conducive ,"150,000",Not Strict,
17/12/2024 13:47:59,Hilltop,Self-contained (Self-con,First Floor,Medium,10-20 years,15-30 minutes walk,More than 30 minutes walk,Moderately accessibile,Running water available in your unit,It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,Yes,Yes,Secure,Regular cleaning by caretaker,Quiet,It’s okay and calm ,"250,000",Strict,Gate locks by 11pm and opens by 5:30/ 6 am depends 
17/12/2024 13:50:35,Odim,Single room,Ground floor,Small,10-20 years,More than 30 minutes walk,More than 30 minutes walk,Not accessible,Borehole (outside the building),5-15 minutes walk,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Pit Latrine,Shared within the compound,Yes,No,Yes,Insecure,Tenants take turns cleaning,Very Vibrant,Very loud,70000,No rules,None
17/12/2024 13:50:56,Odim,Self-contained (Self-con,Ground floor,Medium,Less than 5 years,5-15 minutes walk,Less than 5 minutes walk,Not accessible,Running water available in your unit,It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),No,No,No,Secure,Tenants take turns cleaning,Neutral,,160000,Not Strict,
17/12/2024 13:55:47,Odenigwe,Self-contained (Self-con,First Floor,Medium,Less than 5 years,Less than 5 minutes walk,Less than 5 minutes walk,Not accessible,Running water available in your unit,It's within my building,"Very reliable (near consistent, 18-24 hours/day",Water Closet,En-suite (inside the apartment),Yes,Yes,Yes,Very Secure,Regular cleaning by caretaker,Neutral,,200000,No rules,
17/12/2024 13:58:05,Behind Flat,Flat,Second Floor,Medium,Less than 5 years,15-30 minutes walk,15-30 minutes walk,Very accessible,Running water available in your unit,It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Secure,Regular cleaning by caretaker,Neutral,,370000,Moderately Strict,
17/12/2024 14:01:06,Behind Flat,Self-contained (Self-con,Ground floor,Medium,Less than 5 years,5-15 minutes walk,5-15 minutes walk,Not accessible,Public tap (outside the building),It's within my building,"Very reliable (near consistent, 18-24 hours/day",Semi-Water Closer,En-suite (inside the apartment),No,No,No,Average,Regular cleaning by caretaker,Very Quiet,,200000,No rules,
17/12/2024 14:13:00,Odenigwe,Self-contained (Self-con,Third Floor,Medium,10-20 years,More than 30 minutes walk,More than 30 minutes walk,Moderately accessibile,Public tap (outside the building),It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Secure,Every Saturday,Vibrant,conducive and friendly,"140,000",Moderately Strict,Gate lock at 11pm and open 6am
17/12/2024 14:18:02,Behind Flat,Self-contained (Self-con,First Floor,Medium,10-20 years,More than 30 minutes walk,More than 30 minutes walk,Moderately accessibile,Public tap (outside the building),5-15 minutes walk,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Secure,No cleaning,Vibrant,Quiet serene.,180,Moderately Strict,Tenants are to be in the compound before 10PM
17/12/2024 14:41:25,Odenigwe,Self-contained (Self-con,Second Floor,Medium,Less than 5 years,5-15 minutes walk,15-30 minutes walk,Moderately accessibile,Running water available in your unit,It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Secure,Regular cleaning by caretaker,Neutral,The environment is very calm ,180,Moderately Strict,No loud music from 9:00pm
17/12/2024 14:45:45,Greenhouse,Self-contained (Self-con,Ground floor,Small,10-20 years,15-30 minutes walk,More than 30 minutes walk,Moderately accessibile,"Private tap/tanker (water is delivered to a tank, but not directly to your unit)",It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Pit Latrine,Shared within the compound,Yes,No,Yes,Average,Tenants take turns cleaning,Neutral,Calm but local. Not much access to a lot of things.,"100,000",Not Strict,There aren't much. Just sanitation rotations.
17/12/2024 14:47:06,Odim,Self-contained (Self-con,Second Floor,Medium,Less than 5 years,5-15 minutes walk,5-15 minutes walk,Moderately accessibile,Running water available in your unit,5-15 minutes walk,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,Yes,Yes,Average,Tenants take turns cleaning,Neutral,Cool ,240000,Moderately Strict,"Gate locked by 10
Compound cleaned by tenants every Saturday by 7am"
